agency_name,Manager,Non-manager,disparity
TEXAS COMMISSION ON ENVIRONMENTAL QUALITY         ,8282.477027027027,4778.172053429027,3504.3049735980003
TEXAS COMMISSION ON FIRE PROTECTION               ,7716.66,4705.73,3010.9300000000003
TEXAS COMMISSION ON THE ARTS                      ,8438.0,4656.013636363637,3781.9863636363634
TEXAS DEPARTMENT OF CRIMINAL JUSTICE              ,3489.2813394665277,3374.6176666845467,114.66367278198095
TEXAS DEPARTMENT OF INSURANCE                     ,7909.115325443787,4812.674598737602,3096.440726706185
TEXAS DEPARTMENT OF MOTOR VEHICLES                ,8708.759423076923,4219.582005772006,4489.177417304917
TEXAS DEPARTMENT OF TRANSPORTATION                ,10274.365016233765,4481.64054153649,5792.724474697276
TEXAS EDUCATION AGENCY                            ,9854.688531073447,6617.241151898734,3237.447379174713
TEXAS EMERGENCY SERVICES RETIREMENT SYSTEM        ,9240.0,4381.822857142857,4858.177142857143
TEXAS ETHICS COMMISSION                           ,7387.975,4301.1258823529415,3086.849117647059
TEXAS FACILITIES COMMISSION                       ,8945.711363636363,4366.40363076923,4579.3077328671325
TEXAS FUNERAL SERVICE COMMISSION                  ,7123.79,3840.4785714285713,3283.3114285714287
TEXAS HIGHER EDUCATION COORDINATING BOARD         ,7427.433611111111,6056.433571428572,1371.000039682539
TEXAS HISTORICAL COMMISSION                       ,9281.800000000001,4333.840187265918,4947.959812734083
TEXAS JUVENILE JUSTICE DEPARTMENT                 ,5836.912087912088,3918.230050916497,1918.6820369955913
TEXAS LEGISLATIVE COUNCIL                         ,7480.881034482758,5609.089378698225,1871.7916557845328
TEXAS LOTTERY COMMISSION                          ,11560.86205882353,5331.890826771653,6228.9712320518765
TEXAS MEDICAL BOARD                               ,7500.192352941177,4104.173611111111,3396.0187418300657
TEXAS MILITARY DEPARTMENT                         ,4186.647974683544,4550.9092608695655,-364.2612861860216
TEXAS PUBLIC FINANCE AUTHORITY                    ,10525.526666666667,6417.537272727273,4107.989393939393
TEXAS RACING COMMISSION                           ,7633.33,4588.814545454546,3044.5154545454543
TEXAS VETERANS COMMISSION                         ,8004.005714285714,4093.9399002493765,3910.0658140363375
TEXAS WORKFORCE COMMISSION                        ,6220.947491166077,3870.24090617849,2350.706584987587
THIRD COURT OF APPEALS DISTRICT                   ,7708.34,8222.168125,-513.828125
THIRTEENTH COURT OF APPEALS DISTRICT              ,8109.461538461538,8486.920588235294,-377.4590497737563
TREASURY SAFEKEEPING TRUST COMPANY                ,14823.908333333333,8812.648983050847,6011.259350282486
TWELFTH COURT OF APPEALS DISTRICT                 ,8664.0625,9529.76,-865.6975000000002
WATER DEVELOPMENT BOARD                           ,9036.175957446809,5509.046416382253,3527.129541064556
